time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2011-03-12T18:58:19.320Z,38.773,142.924,41.7,4.4,mb,34,136,,1.09,us,usp000hwju,2014-11-07T01:44:03.252Z,"near the east coast of Honshu, Japan",earthquake,,9.2,,7,reviewed,us,us
2011-03-12T18:54:10.810Z,36.57,141.683,58.4,4.4,mb,41,119.6,,0.9,us,usp000hwjt,2014-11-07T01:44:03.248Z,"near the east coast of Honshu, Japan",earthquake,,7.9,,10,reviewed,us,us
2011-03-12T18:51:38.270Z,36.573,141.685,36,4.5,mb,55,116.8,,0.92,us,usp000hwjs,2014-11-07T01:44:03.244Z,"near the east coast of Honshu, Japan",earthquake,,6.9,,22,reviewed,us,us
2011-03-12T18:45:22.890Z,38.523,144.845,18,4.4,mb,33,136.2,,0.74,us,usp000hwjr,2014-11-07T01:44:03.241Z,"off the east coast of Honshu, Japan",earthquake,,18.2,,8,reviewed,us,us
2011-03-12T18:38:36.560Z,37.7,143.389,21.6,4.8,mb,116,120.6,,0.87,us,usp000hwjq,2014-11-07T01:44:03.233Z,"off the east coast of Honshu, Japan",earthquake,,12.4,,65,reviewed,us,us
2011-03-12T18:36:12.710Z,39.342,144.75,35,4.1,mb,16,157.6,,0.86,us,usp000hwjp,2014-11-07T01:44:03.231Z,"off the east coast of Honshu, Japan",earthquake,,,,3,reviewed,us,us
2011-03-12T18:34:23.120Z,37.429,144.171,35,4.6,mb,14,128.4,,1.6,us,usp000hwjn,2014-11-07T01:44:03.230Z,"off the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2011-03-12T18:17:10.790Z,35.407,141.2,10,4.3,mb,18,121.2,,1.25,us,usp000hwjk,2014-11-07T01:44:03.222Z,"near the east coast of Honshu, Japan",earthquake,,,,5,reviewed,us,us
2011-03-12T18:14:38.090Z,38.532,144.793,19.1,4.5,mb,36,127.8,,1.04,us,usp000hwjj,2014-11-07T01:44:03.219Z,"off the east coast of Honshu, Japan",earthquake,,21.9,,8,reviewed,us,us
2011-03-12T18:14:24.190Z,36.558,141.183,35,4.5,mb,13,172.6,,1.04,us,usp000hwjh,2014-11-07T01:44:03.218Z,"near the east coast of Honshu, Japan",earthquake,,,,4,reviewed,us,us
2011-03-12T18:09:17.460Z,37.328,141.268,54.1,4.6,mb,64,120.7,,1.12,us,usp000hwjg,2014-11-07T01:44:03.212Z,"near the east coast of Honshu, Japan",earthquake,,9,,38,reviewed,us,us
2011-03-12T17:59:58.510Z,37.476,143.737,35,4.7,mb,66,127.6,,1.21,us,usp000hwje,2014-11-07T01:44:03.203Z,"off the east coast of Honshu, Japan",earthquake,,,,30,reviewed,us,us
2011-03-12T17:55:57.460Z,37.755,143.296,35,4.5,mb,31,128.9,,0.75,us,usp000hwjd,2014-11-07T01:44:03.200Z,"off the east coast of Honshu, Japan",earthquake,,,,5,reviewed,us,us
2011-03-12T17:51:21.080Z,37.769,143.203,10,4.9,mb,57,128.9,,0.92,us,usp000hwjb,2014-11-07T01:44:03.179Z,"off the east coast of Honshu, Japan",earthquake,,,,49,reviewed,us,us
2011-03-12T17:48:11.520Z,37.252,143.537,18.4,4.8,mb,63,97.7,,0.94,us,usp000hwja,2014-11-07T01:44:03.174Z,"off the east coast of Honshu, Japan",earthquake,,5,,26,reviewed,us,us
2011-03-12T17:47:06.800Z,37.424,143.72,35,4.5,mb,10,238.1,,1.45,us,usp000hwj9,2014-11-07T01:44:03.172Z,"off the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2011-03-12T17:43:32.360Z,36.313,142.154,35,4.8,mb,50,126.5,,1.06,us,usp000hwj8,2014-11-07T01:44:03.168Z,"off the east coast of Honshu, Japan",earthquake,,,,16,reviewed,us,us
2011-03-12T17:40:56.450Z,38.716,142.505,27.6,4.7,mb,126,122,,0.89,us,usp000hwj7,2014-11-07T01:44:03.158Z,"near the east coast of Honshu, Japan",earthquake,,3.6,,74,reviewed,us,us
2011-03-12T17:38:32.550Z,39.044,144.745,28,4.5,mb,34,135.9,,1.06,us,usp000hwj6,2014-11-07T01:44:03.154Z,"off the east coast of Honshu, Japan",earthquake,,6.2,,8,reviewed,us,us
2011-03-12T17:35:21.630Z,36.471,141.221,27.4,4.4,mb,16,142.6,,1.14,us,usp000hwj5,2014-11-07T01:44:03.152Z,"near the east coast of Honshu, Japan",earthquake,,22.9,,2,reviewed,us,us
2011-03-12T17:24:02.920Z,37.328,143.393,35,4.4,mb,23,135.8,,1.15,us,usp000hwj4,2014-11-07T01:44:03.150Z,"off the east coast of Honshu, Japan",earthquake,,,,2,reviewed,us,us
2011-03-12T17:19:23.850Z,36.517,142.482,10,5.8,mwb,197,51,,1.22,us,usp000hwj3,2015-05-13T18:53:59.000Z,"off the east coast of Honshu, Japan",earthquake,,,,,reviewed,us,us
